,Test,=,==,===,====,=====,======,,,,acc,auc,f1,mcc,precision,recall,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std
2,fold_2,0.897,0.826875,0.733850129,0.670664961,0.759358289,0.71,,,,,,,,,,,,,,,
3,fold_3,0.891,0.79875,0.702997275,0.640792123,0.77245509,0.645,,,,,,,,,,,,,,,
4,fold_4,0.902,0.84125,0.751269036,0.690389633,0.762886598,0.74,,,,,,,,,,,,,,,
5,fold_5,0.896,0.820625,0.727748691,0.664775528,0.763736264,0.695,,,,,,,,,,,,,,,
6,mean,0.8976,0.820875,0.729912157,0.66893443,0.772401534,0.693,,,,,,,,,,,,,,,
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,,
8,mean_std,0.004615192,0.015465435,0.017428641,0.018409904,0.018078387,0.035812009,,,,,,,,,,,,,,,
9, , , , , , , ,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,,
0,NSUN2,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,,
1,fold_1,0.831,0.675,0.495522388,0.409687863,0.614814815,0.415,,,,,,,,,,,,,,,
2,fold_2,0.838,0.701875,0.539772727,0.449834548,0.625,0.475,,,,,,,,,,,,,,,
3,fold_3,0.83,0.6875,0.514285714,0.420084025,0.6,0.45,,,,,,,,,,,,,,,
