,Test,=,==,===,====,=====,======,,,,acc,auc,f1,mcc,precision,recall,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,,
0,hnRNPC-2,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,,
1,fold_1,0.88988989,0.936708385,0.719387755,0.651139953,0.734375,0.705,,,,,,,,,,,,,,,
2,fold_2,0.886886887,0.933366708,0.664688427,0.615024938,0.817518248,0.56,,,,,,,,,,,,,,,
3,fold_3,0.901901902,0.942352941,0.74742268,0.68713142,0.771276596,0.725,,,,,,,,,,,,,,,
4,fold_4,0.8998999,0.944612015,0.732620321,0.673873447,0.787356322,0.685,,,,,,,,,,,,,,,
5,fold_5,0.880880881,0.928404255,0.686015831,0.614227582,0.726256983,0.65,,,,,,,,,,,,,,,
6,mean,0.891891892,0.937088861,0.710027003,0.648279468,0.76735663,0.665,,,,,,,,,,,,,,,
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,,
8,mean_std,0.008868891,0.006590333,0.034017059,0.033309545,0.037777343,0.064903775,,,,,,,,,,,,,,,
9, , , , , , , ,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,,
0,hnRNPL-1,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,,
1,fold_1,0.796,0.65808125,0.215384615,0.168430384,0.466666667,0.14,,,,,,,,,,,,,,,
2,fold_2,0.799,0.6756625,0.114537445,0.117223666,0.481481481,0.065,,,,,,,,,,,,,,,
3,fold_3,0.797,0.63764375,0.228136882,0.179039636,0.476190476,0.15,,,,,,,,,,,,,,,
4,fold_4,0.806,0.6674,0.133928571,0.166613294,0.625,0.075,,,,,,,,,,,,,,,
5,fold_5,0.803,0.67746875,0.168776371,0.166877025,0.540540541,0.1,,,,,,,,,,,,,,,
6,mean,0.8002,0.66325125,0.172152777,0.159636801,0.517975833,0.106,,,,,,,,,,,,,,,
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,,
8,mean_std,0.004207137,0.016247011,0.049485423,0.0242578,0.066471465,0.037980258,,,,,,,,,,,,,,,
9, , , , , , , ,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,,
0,hnRNPL-2,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,,
1,fold_1,0.802,0.6673875,0.074766355,0.110647314,0.571428571,0.04,,,,,,,,,,,,,,,
2,fold_2,0.797,0.65011875,0.150627615,0.13171832,0.461538462,0.09,,,,,,,,,,,,,,,
3,fold_3,0.798,0.64213125,0.038095238,0.050251891,0.4,0.02,,,,,,,,,,,,,,,
4,fold_4,0.789,0.6586,0.109704641,0.074167567,0.351351351,0.065,,,,,,,,,,,,,,,
5,fold_5,0.791,0.63815,0.087336245,0.062572093,0.344827586,0.05,,,,,,,,,,,,,,,
6,mean,0.7954,0.6512775,0.092106019,0.085871437,0.425829194,0.053,,,,,,,,,,,,,,,
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,,
8,mean_std,0.005319774,0.011942351,0.041758436,0.034148107,0.0938745,0.026362853,,,,,,,,,,,,,,,
9, , , , , , , ,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,,
